	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	log_CBombi Value	log_CBombi Std.Error	log_CBombi Zscore	log_CBombi Pvalue	log_CBombi bh
f__Lactobacillaceae-g__gbxid5846	0.0005297656959892301	0.10815047021943573	1.319e-05	1.0	1.0	0.1901	2.693323e-07	2.1546584e-06	0.1082	0.00146019	0.0019469200000000002	1.877	-12.2918651	0.3024959	-40.6348	0	0.019067	0.0030875	6.1754	6.598e-10	3.5189333333333337e-09	-0.043547	0.0169867	-2.5636	0.01036	0.08288
f__Oxalobacteraceae-g__Massilia	0.0004929849632065933	0.19278996865203762	0.1296	0.0003648784	0.00241764352	1.123e-05	1.0	1.0	1.057	3.611348e-25	1.4445392e-24	1.76	-9.4162941	0.3959447	-23.7818	0	-0.0172981	0.0036163	-4.7834	1.723e-06	3.938285714285714e-06	0.0072312	0.0179289	0.4033	0.6867	0.7940571428571428
f__Propionibacteriaceae-g__Cutibacterium	0.00020866168987561753	0.1833855799373041	1.044e-05	1.0	1.0	0.07328	0.002047883	0.007281361777777777	0.6116	1.296166e-15	3.7706647272727276e-15	1.566	-10.8571117	0.2924599	-37.1234	0	-0.0022751	0.0032942	-0.6906	0.4898	0.5404689655172414	0.0311045	0.0165691	1.8773	0.06048	0.21504
f__Cellulomonadaceae-g__Cellulomonas	0.00016811130125467174	0.18495297805642633	0.1426377	0.0001500703	0.0016007498666666667	0.0001814	1.0	1.0	0.4928295	1.27226e-10	2.908022857142857e-10	1.6788909	-9.8711118	0.3797855	-25.9913	0	-0.0059472	0.0033341	-1.7838	0.07446	0.0953088	-0.0336775	0.0170413	-1.9762	0.04813	0.19252
f__Enterobacteriaceae-g__Escherichia			7.41e-07	1.0	1.0	0.01838	0.01942758	0.041445504	0.2447	3.465767e-17	1.10904544e-16	0.6521	-10.437622	0.182705	-57.1283	0	0.0030916	0.0021145	1.4621	0.1437	0.17686153846153846	0.0190413	0.0106303	1.7912	0.07326	0.22766545454545453
p__Pseudomonadota-c__Gammaproteobacteria	0.5600479150047717	1.0	1.232e-05	1.0	1.0	0.1562	5.474646e-07	1.50552765e-06	0.0551	0.01236992	0.01511879111111111	1.593	-1.7832334	0.2721299	-6.5529	5.644e-11	0.0094969	0.0027529	3.4498	0.000561	0.0020570000000000002	0.0118126	0.0154343	0.7653	0.444066	0.5427473333333334
p__Pseudomonadota-c__Betaproteobacteria	0.2765593899367825	0.9952978056426333	0.3555	0.200191	1.0	0.6642	0.01178121	0.01619916375	0.7937	5.732776e-08	1.5765134e-07	4.8104	-1.8010427	0.6871539	-2.621	0.008767	-0.0083549	0.0053831	-1.5521	0.120649	0.22118983333333336	-0.0342704	0.0283136	-1.2104	0.22613	0.35534714285714286
p__Pseudomonadota-c__Alphaproteobacteria	0.08046933269580911	0.7915360501567398	2.276e-05	1.0	1.0	0.3864	0.004239604	0.007772607333333334	4.544	1.007358e-15	5.540469e-15	9.671	-7.5416677	0.7334693	-10.2822	0	0.0101271	0.0083063	1.2192	0.2228	0.254551	0.0664669	0.0414204	1.6047	0.1086	0.19910000000000003
p__Bacteroidota-c__Flavobacteriia	0.02881842885343223	0.45768025078369906	1.495e-05	1.0	1.0	2.562	2.102286e-17	2.3125146e-16	0.2563	0.2164333	0.2164333	10.46	-10.2889794	0.8258509	-12.4586	0	0.0182932	0.0069508	2.6318	0.008493	0.02335575	-0.1040643	0.0394157	-2.6402	0.008286	0.045572999999999995
p__Bacillota-c__Bacilli	0.024850189475766164	0.7962382445141066	0.0002871	1.0	1.0	1.5809461	1.758641e-16	9.672525499999998e-16	0.6817914	0.001065012	0.0016735902857142858	6.7465508	-10.2353937	0.6838774	-14.9667	0	0.0451436	0.0061216	7.3745	1.65e-13	1.815e-12	-0.0207475	0.0329319	-0.63	0.5287	0.5815699999999999
p__Actinomycetota-c__Actinomycetes	0.013858231030349558	0.8495297805642633	4.714e-07	1.0	1.0	0.04828	0.2124576	0.2124576	0.2493	0.03547361	0.039020971	6.929	-6.5993677	0.4701477	-14.0368	0	0.0028615	0.0056427	0.5071	0.6121	0.6121	-0.0038766	0.0315475	-0.1229	0.9022	0.9022
p__Mycoplasmatota-c__Mollicutes	0.008358440111071942	0.11598746081504702	2.147e-06	1.0	1.0	0.4876	7.326452e-16	2.6863657333333332e-15	0.1657	0.002609592	0.003588189	3.413	-11.7738598	0.4283958	-27.4836	0	0.0076008	0.0041209	1.8444	0.06512	0.143264	-0.0193024	0.0228378	-0.8452	0.398	0.5427473333333334
p__Cyanobacteria-c__Cyanobacteriia	0.003936985541698544	0.47648902821316613	0.003235	1.0	1.0	0.179728	0.00994578	0.015629082857142856	0.744139	3.66895e-06	8.07169e-06	5.365273	-7.1029229	0.4853039	-14.636	0	-0.0383011	0.0055656	-6.8818	5.912e-12	3.2516e-11	0.0491724	0.0293597	1.6748	0.09397	0.19910000000000003
p__Patescibacteria-c__Paceibacteria	0.0015627035623673449	0.7100313479623824	0.05061	0.4462469	1.0	0.63138	1.928163e-05	4.2419586000000005e-05	0.67691	0.0002239556	0.0004105852666666667	5.214	-10.0015703	0.567517	-17.6234	0	0.0065647	0.0054856	1.1967	0.23141	0.254551	0.0513123	0.0291398	1.7609	0.07826	0.19910000000000003
other	0.0014116205563384512	0.5297805642633229	0.03412	1.0	1.0	3.65891	0.02467464	0.027142104000000004	81.66674	2.815169e-35	3.0966859e-34	120.39011	-19.326315	2.664632	-7.2529	4.079e-13	-0.038855	0.030113	-1.2903	0.1969482	0.254551	0.513778	0.147828	3.4755	0.0005099	0.0056089
p__Bacteroidota-c__Bacteroidia	0.00012676323161255136	0.14890282131661442	2.786e-06	1.0	1.0	0.04266	0.01921514	0.02348517111111111	0.2456	1.10051e-08	4.0352033333333336e-08	1.55	-11.8085716	0.2593624	-45.5292	0	0.0042577	0.0030229	1.4085	0.15899	0.24984142857142858	0.0283093	0.0158323	1.7881	0.07376	0.19910000000000003
