	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0017	vag	W	17	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	54.0		54.0		2017_1	17.0	2017	5.2261853882896500	Allen_Island	Allen_Island	0.0	72	5.153469347388540	0.16036582630570800	0.0006677522966901150	Allen Island Garden7/12/17	0.35415641908509600	0.019347434005574700	0.018691588785046700	0.0	0.5956714215445160	0.0	0.0	0.004099032628299720	0.001147729135923920	0.000983767830791933	0.601901951139531	0.39219544187571700	7/12/23	July	Allen_Island2017	2
B0018	vag	W	18	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	26.0		26.0		2017_1	18.0	2017	5.850969066706830	Allen_Island	Allen_Island	0.0	72	2.571104678629500	0.4884219312880640	-0.1455090405717390	Allen Island Garden7/12/17	0.01905063736882880	0.9228466793436160	0.0008803436861750830	0.0	0.0007042749489400660	0.0	0.0	0.0	0.0	0.00017606873723501700	0.0008803436861750830	0.9427776603986200	7/12/23	July	Allen_Island2017	2
B0019	vag	W	19	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	30.0		30.0		2017_1	19.0	2017	4.56694334547264	Allen_Island	Allen_Island	0.0	72	1.797944229089170	0.02182047788703550	0.21051158292701200	Allen Island Garden7/12/17	0.0007158196134574090	0.0	0.9853799266827180	0.0	0.013275200104119200	0.0	0.0	0.9852280861586520	0.0	0.0	0.9985032862627710	0.9860957462961760	7/12/23	July	Allen_Island2017	2
B0021	bor	W	21	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-18-7	8/3/17	47.0		47.0		2017_1	21.0	2017	2.3358171557413600	Allen_Island	Allen_Island	0.0	72	1.760931744738650	-0.0673912607663299	0.032203579524700900	Allen Island Garden7/12/17	0.5241413526373950	0.0	0.41399995489705300	0.0	0.0	0.010260920551158000	0.05028978643754370	0.41399995489705300	0.5241413526373950	0.0	0.998692014523149	0.9381413075344470	7/12/23	July	Allen_Island2017	2
B0022	bor	W	22	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-18-7	8/3/17	85.0		85.0		2017_1	22.0	2017	2.642512420476410	Allen_Island	Allen_Island	0.0	72	1.196535087622810	-0.03965120478262700	0.09447693226873060	Allen Island Garden7/12/17	0.3880271000703420	0.0	0.6109362852171340	0.0	0.0	0.0	0.0	0.6109362852171340	0.3876198585761360	0.0	0.9985561437932690	0.9989633852874750	7/12/23	July	Allen_Island2017	2
B0025	vag	W	25	7/12/17	JG	Owls neck	Knox	44.0912	-69.0495							2017-18-7	8/3/17	52.0		52.0		2017_1	25.0	2017	4.055338687177780	Owls_Head_ME	Owls_Head_ME	0.0	72	1.477111500084050	0.02151044904884650	0.2100462519324230	Owls neck7/12/17	0.0009224341409153800	0.00018991291136493100	0.9981822621340790	0.0	0.0	0.0	0.0	0.9978024363113490	0.00021704332727420700	0.00027130415909275900	0.9982907837977160	0.9992946091863590	7/12/23	July	Owls_Head_ME2017	3
B0028	bor	W	28	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3114	jasmine					11:00	2017-20-7	8/3/17	43.0		43.0		2017_1	28.0	2017	9597.177407301120	Allen_Island	Allen_Island	1.0	72	3.383525610644530	-0.030998183339858700	0.10853800294769700	Allen Island Garden7/12/17	0.34558692421991100	0.0016641901931649300	0.6427637444279350	0.0018127786032689500	0.00035661218424962900	0.003922734026745910	0.0	0.6414264487369990	0.33462109955423500	0.00017830609212481400	0.9823179791976220	0.9900148588410100	7/12/23	July	Allen_Island2017	2
B0029	ruf	W	29	7/22/17	FJ	Colby Observatory	Kennebec	44.5605	-69.6655	clover						2017-31-07	8/3/17	79.0		79.0		2017_1	29.0	2017	0.0	Colby_College	Colby_College	0.0	82	2.466635392131260	-0.08473335887636040	-0.01370456524267120	Colby Observatory7/22/17	0.7326374094588840	0.002982530890498510	0.2584149978696210	0.0	0.002023860247123990	0.0	0.003302087771623350	0.2584149978696210	0.7050489987217730	0.026949296974861500	0.9957392415850020	0.994034938219003	7/22/23	July	Colby_College2017	4
B0030	bim	W	30	7/22/17	FJ	Colby Observatory	Kennebec	44.5605	-69.6655	clover						2017-31-07	8/3/17	97.0		97.0		2017_1	30.0	2017	0.0	Colby_College	Colby_College	0.0	82	1.617742339958240	0.021506019701455800	0.20962742057698000	Colby Observatory7/22/17	0.001939685975049510	0.0	0.9943851195459090	0.0	0.0025726361353288300	0.0	0.0	0.9942421953161690	0.00020417747105784300	0.00044919043632725600	0.9974681993588830	0.9963248055209590	7/22/23	July	Colby_College2017	4
B0031	vag	W	31	7/22/17	FJ	Colby Observatory	Kennebec	44.5605	-69.6655	clover						2017-31-07	8/3/17	131.0		131.0		2017_1	31.0	2017	0.0	Colby_College	Colby_College	0.0	82	4.538878047770370	0.1432515585070490	-0.062129451916452300	Colby Observatory7/22/17	0.17433414043583500	0.013720742534301900	0.029661016949152500	0.0	0.0	0.0	0.0	0.011097659402744100	0.002421307506053270	0.0008071025020177560	0.014326069410815200	0.21771589991929000	7/22/23	July	Colby_College2017	4
