	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0147	bor	M	147	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							8/10/17	10/20/17	24.09		49.0	1.85	2017_2	146.0	2017	17.42306825135010	Allen_Island	Allen_Island	1.0	121	8.252606299376440	-0.07097939029218500	-0.014658728944471700	Allen Island8/30/17	0.6328213648889610	0.0007699789268925270	0.2158575133733180	0.1115861565893990	0.0	0.012846490517101600	0.0	0.21581698816664000	0.2171137947803530	0.03627005997730590	0.5936334900307990	0.8494488571891720	8/30/23	August	Allen_Island2017	32
B0149	bor	M	149	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							8/10/17	10/20/17	33.72		33.72		2017_2	147.0	2017	169.50610321758100	Allen_Island	Allen_Island	1.0	121	5.103034223532590	-0.05010734169787480	0.00312289764393041	Allen Island8/30/17	0.43922281628942500	0.00838199719572888	0.3310426649820500	0.011232492565599900	0.0	0.038443167285558	0.1540962388869200	0.3309656245666480	0.43738925440286000	0.0002003050800449920	0.9723270827876300	0.778647478467204	8/30/23	August	Allen_Island2017	32
B0150	ruf	W	150	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	57.18		57.18		2017_2	148.0	2017	17073.378753181800	Allen_Island	Allen_Island	1.0	121	9.14057025138484	0.02229757503490590	0.08894200034276790	Allen Island8/30/17	0.9942575055410040	0.000926858754785412	0.0006246222043119080	0.0	0.0	0.0	0.0	0.0006246222043119080	0.000463429377392706	0.0008059641345960110	0.0018940157163006200	0.9958089865001010	8/30/23	August	Allen_Island2017	32
B0151	vag	W	151	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	46.8		46.8		2017_2	149.0	2017	1483.409901378170	Allen_Island	Allen_Island	1.0	121	6.340556011821460	0.4700547268447810	-0.14126407995361100	Allen Island8/30/17	0.07968960863697710	0.9161605937921730	0.0008097165991902830	0.0	0.0	0.0	0.0	0.0008097165991902830	0.0003036437246963560	0.0003036437246963560	0.0014170040485830000	0.9966599190283400	8/30/23	August	Allen_Island2017	32
B0152	imp	W	152	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	70.08		70.08		2017_2	150.0	2017	0.9281204780847810	Allen_Island	Allen_Island	0.0	121	2.777480195865910	-0.034150550389301800	0.001696382958165710	Allen Island8/30/17	0.4278447850569040	0.0	0.3080142217988190	0.0	0.010513243624857500	0.0	0.10799040538931300	0.3080142217988190	0.33370192062330900	0.06379395403432970	0.8240137454706290	0.7358590068557240	8/30/23	August	Allen_Island2017	32
B0153	bor	M	153	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	110.22		110.22		2017_2	151.0	2017	7314.758151297250	Allen_Island	Allen_Island	1.0	121	4.438958594377530	-0.02570966680940610	0.07211915517749890	Allen Island8/30/17	0.4024640976916610	0.000186910065107006	0.5252017071119280	0.0006697610666334380	0.0	0.0014329771658203800	0.0	0.5252017071119280	0.4008286346219740	0.0	0.9281330799663560	0.9278527148686960	8/30/23	August	Allen_Island2017	32
B0154	vag	W	154	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	14.97		41.9	1.8	2017_2	152.0	2017	38189.248968800800	Allen_Island	Allen_Island	1.0	121	14.24392732847990	0.05630916986042460	0.23996385187836700	Allen Island8/30/17	0.01410347994693340	0.0009184610674558630	0.769445861822635	0.0	0.21030717420144900	0.0001224614756607820	0.0	0.7687519134605570	0.000591897132360445	0.0006327176242473720	0.9804061638942750	0.7844678028370240	8/30/23	August	Allen_Island2017	32
B0155	tern	M	155	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	41.28		41.28		2017_2	153.0	2017	5155.050585656560	Allen_Island	Allen_Island	1.0	121	1.359076659478630	-0.11837170520633200	-0.08848786334040190	Allen Island8/30/17	0.987889448082005	0.010747168032855900	0.00080793119119355	3.36637996330646E-05	2.52478497247984E-05	0.0	0.0	0.00080793119119355	0.0002019827977983880	0.00013465519853225800	0.001203480836882060	0.9994445473060550	8/30/23	August	Allen_Island2017	32
B0156	vag	W	156	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	16.83		37.8	1.82	2017_2	154.0	2017	2236.713613885060	Allen_Island	Allen_Island	1.0	121	1.913155358357270	-0.12065230776338400	-0.08642494278718530	Allen Island8/30/17	0.9938597484989240	0.004055738076356630	0.0011555454854423900	0.0	0.0	0.0	0.0	0.0011555454854423900	0.00018126203693214000	0.00015860428231562300	0.0014954118046901600	0.9990710320607230	8/30/23	August	Allen_Island2017	32
B0157	bor	M	157	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	72.06		72.06		2017_2	155.0	2017	294.20627597859000	Allen_Island	Allen_Island	1.0	121	4.488558854889860	-0.021488762622395600	0.12265660069038900	Allen Island8/30/17	0.2891239349475470	0.002488722974023950	0.6982941877948880	0.00022467637959938500	0.0	0.0020393702148251800	0.0005012011544909350	0.6982941877948880	0.2562347695338830	0.00025924197646082900	0.9575534470541470	0.9899068457164580	8/30/23	August	Allen_Island2017	32
B0158	ruf	W	158	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	51.27		51.27		2017_2	156.0	2017	39999.10837283120	Allen_Island	Allen_Island	1.0	121	2.780475586267900	0.0992428575625535	0.088191768132373	Allen Island8/30/17	0.8886932991940410	0.10570572318077300	0.0003636998457912650	0.0	0.0	0.0	0.0	0.0003636998457912650	0.0002909598766330120	0.000567371759434374	0.0012220314818586500	0.9947627222206060	8/30/23	August	Allen_Island2017	32
B0159	bor	M	159	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-18-10	10/20/17	121.89		121.89		2017_2	157.0	2017	10.62354095862730	Allen_Island	Allen_Island	1.0	121	2.568924563720220	-0.060256757641924100	0.048161769012422000	Allen Island8/30/17	0.47228820269200300	0.0	0.45693674672297	0.0050878273364417500	0.0	0.007052579103252100	0.05539426996275770	0.45687809741649800	0.46923843875546200	0.00016128559279786500	0.9938124981672090	0.9292249494149730	8/30/23	August	Allen_Island2017	32
B0160	tern	W	160	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	57.75		57.75		2017_2	158.0	2017	13656.457267306100	Allen_Island	Allen_Island	1.0	121	7.437559359091120	-0.059836156097237100	0.0638981693399403	Allen Island8/30/17	0.5068989105227160	0.0003503678862805950	0.48879656973155100	0.00026694696097569100	0.0	0.0006673674024392280	0.00028363114603667200	0.48879656973155100	0.0016684185060980700	0.4509234696431250	0.9426064033902260	0.9960458481405480	8/30/23	August	Allen_Island2017	32
B0161	vag	W	161	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	62.55		62.55		2017_2	159.0	2017	9.578095883393240	Allen_Island	Allen_Island	0.0	121	2.082040713431250	-0.04345875791453100	0.09391306047389430	Allen Island8/30/17	0.3964675240110700	0.001071680503554180	0.5891529654349120	0.0	0.012168321666938000	0.0	0.0	0.5891529654349120	0.3953415812035380	0.0	0.9966628683053880	0.986692169949536	8/30/23	August	Allen_Island2017	32
B0162	vag	W	162	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	100.41		100.41		2017_2	160.0	2017	5544.977798319480	Allen_Island	Allen_Island	1.0	121	1.862505177672990	0.19081090769905600	-0.06810220855244880	Allen Island8/30/17	0.29474342928660800	0.4354796944456430	0.19103620905442100	0.0	0.0	0.0	0.0	0.19103620905442100	0.00140261533813819	0.14654093478917600	0.3389797591817360	0.9212593327866730	8/30/23	August	Allen_Island2017	32
B0163	vag	W	163	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	51.09		51.09		2017_3	161.0	2017	7512.748563394810	Allen_Island	Allen_Island	1.0	121	2.2983155640152	-0.012073456225688900	0.14650812131682800	Allen Island8/30/17	0.21112893412246300	0.004480336301786600	0.7572044913988610	5.53127938492173E-05	0.024545052270590200	0.0	0.0	0.7572044913988610	0.12813208695171200	0.08213949886608770	0.9920764422811000	0.9728137618231100	8/30/23	August	Allen_Island2017	32
B0164	bor	W	164	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	141.69		141.69		2017_3	162.0	2017	4.140178942312220	Allen_Island	Allen_Island	0.0	121	2.331089765301290	0.21212596384470800	0.04217911758155010	Allen Island8/30/17	0.640422077922078	0.33766233766233800	0.0017973098330241200	0.006783395176252320	0.00046382189239332100	0.009237786023500310	0.0	0.0017973098330241200	0.015769944341372900	0.0	0.03405225726654300	0.9798817254174400	8/30/23	August	Allen_Island2017	32
B0165	bor	M	165	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	72.25		72.25		2017_3	163.0	2017	3676.2781162047700	Allen_Island	Allen_Island	1.0	121	3.657663451329870	-0.09206505830969060	-0.059487193505948000	Allen Island8/30/17	0.7482137330624220	0.004521172813757280	0.13447797946634000	0.0011975725607869000	0.0	0.08517566640203450	0.0	0.1344510677234010	9.41911002866101E-05	0.00021529394351225200	0.22113379173002100	0.8872128853425190	8/30/23	August	Allen_Island2017	32
B0166	vag	W	166	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	109.98		109.98		2017_3	164.0	2017	16840.657220244700	Allen_Island	Allen_Island	1.0	121	18.30420151645100	-0.05787709509447560	-0.0830941725527707	Allen Island8/30/17	0.7416063082028050	0.05858636314981980	0.08820066364577010	0.0029257501694794300	0.00010703964034680800	0.06415242444785390	0.0006065579619652480	0.08720162700253330	0.03161237378242410	0.001676954365433330	0.188282727370036	0.8883933349983950	8/30/23	August	Allen_Island2017	32
B0167	vag	W	167	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	40.98		40.98		2017_3	165.0	2017	76.72710194234420	Allen_Island	Allen_Island	1.0	121	7.039435070090440	-0.014553243594406400	-0.05058842817210680	Allen Island8/30/17	0.9061166045280170	0.06808234721997080	0.0015399578537850500	0.0	0.01804722537418270	0.0	0.0	0.0014589074404279500	0.0003242016534284330	0.00035121845788080200	0.020181552925919900	0.9757389096017720	8/30/23	August	Allen_Island2017	32
B0168	bor	W	168	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	210.57		210.57		2017_3	166.0	2017	3.772316210360770	Allen_Island	Allen_Island	0.0	121	3.029162534982150	0.044285430433255200	-0.004225480010410970	Allen Island8/30/17	0.29897181941329300	0.0889165241722369	0.2974395416490860	0.018098643156936300	0.0	0.018365126246363600	0.13479602940196800	0.2973951278008480	0.2976394039661570	0.0	0.7662943305722730	0.6853278852346160	8/30/23	August	Allen_Island2017	32
B0169	vag	W	169	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	102.03		102.03		2017_3	167.0	2017	1948.312759664530	Allen_Island	Allen_Island	1.0	121	1.771408980936320	-0.0030618847965449100	0.16356052783609400	Allen Island8/30/17	0.15880872245948500	0.0031676895664224900	0.8281952654354160	0.0	0.00980003959611958	0.0	0.0	0.8281952654354160	0.1582572050796170	0.00012727324150804600	0.99637978335266	0.9901716774613230	8/30/23	August	Allen_Island2017	32
B0170	ruf	W	170	8/30/17	FJ	Allen Island	Allen Island	43.8755	-69.3113							2017-19-10	10/20/17	63.69		63.69		2017_3	168.0	2017	5018.934026730800	Allen_Island	Allen_Island	1.0	121	2.212473502098280	0.0076436865821283100	0.18184024334649800	Allen Island8/30/17	0.10189828080229200	0.00030932534514196400	0.8810888252149000	0.005063167491534250	0.011151992706434000	3.25605626465225E-05	0.0	0.8810888252149000	0.09110445428497010	0.0002767647824954420	0.9887177650429800	0.983296431362334	8/30/23	August	Allen_Island2017	32
1	imp	Q	DRA180509-005	5/9/18	TM	Eustis Parking Lot; Colby College 	Kennebec	44.563	-69.661							8/6/18	10/18/18	149.2	2.07	149.2	2.07	2018_1	76.0	2018	1.0477594420682600	Colby_College	Colby_College	0.0	8	3.242363500236400	-0.12528649630754000	-0.09633851502917080	Eustis Parking Lot; Colby College 5/9/18	0.991420937419521	0.0	0.00048287406644347200	0.0	0.0	0.007291398403296420	0.0	0.000418490857584342	0.000627736286376513	0.9906161473087820	0.9989537728560390	0.9919038114859640	5/9/23	May	Colby_College2018	37
100	tern	W	TWM180719-004	7/19/18	TM	Asticou	MDI	44.2995	-68.2795		70.0	2.0			14:13	7/25/18	10/23/18	17.9	1.89	37.5	1.93	2018_2	135.0	2018	2315.0719246855800	MDI_Northeast_Harbor	MDI_Northeast_Harbor	1.0	79	4.630879047088240	-0.04040808928690740	0.10722950260450700	Asticou7/19/18	0.3493282777105870	0.0	0.6390677605988300	0.005360703428888960	0.005589513941097640	0.0	0.0	0.6390677605988300	0.2366881312718600	0.11236230510247400	0.9990684143431500	0.9883960383094170	7/19/23	July	MDI_Northeast_Harbor2018	38
101	bor	M	TWM180711-010	7/11/18	TM	Little Pembroke Brook	Washington	44.911	-67.8002		75.0	0.0			13:52	7/25/18	10/30/18	32.6	2.03	32.6	2.03	2018_2	147.0	2018	4.664039102629200	Little Pembroke Brook	Pickerel_Lake	0.0	71	6.007207258891430	0.4487315010853600	-0.12468596033444200	Little Pembroke Brook7/11/18	0.08229813664596270	0.9043921916592720	0.008096716947648630	0.0	0.0	0.0	0.0	0.001774622892635320	0.0018855368234250200	0.0013309671694764900	0.004991126885536820	0.9947870452528840	7/11/23	July	Little Pembroke Brook2018	39
102	bor	M	TWM180724-024	7/24/18	TM	Allen Island	Allen Island	43.8755	-69.3113							7/30/18	11/6/18	35.0	1.82	35.0	1.82	2018_2	159.0	2018	2.370455508553830	Allen_Island	Allen_Island	0.0	84	5.239417929466710	-0.027395728183158600	0.0640766651620345	Allen Island7/24/18	0.44182443142353400	0.03350015138292760	0.5217902366916600	0.0	0.0	8.90487809221892E-05	0.0	0.521273753762311	0.41589342641899200	0.00021371707421325400	0.9374699460364390	0.9971148194981210	7/24/23	July	Allen_Island2018	40
106	vag	M	TWM180724-020	7/24/18	TM	Allen Island	Allen Island	43.8755	-69.3113							7/30/18	10/20/18	17.6	1.76	33.6	1.56	2018_2	110.0	2018	7.3526812912540600	Allen_Island	Allen_Island	0.0	84	4.425248865026230	0.03902735670276320	-0.1538340615894130	Allen Island7/24/18	0.7281348788198100	0.24001341124628800	0.013530989558386800	4.78973081712808E-05	0.01729092824983240	0.0	0.0	0.012956221860331400	0.611145703611457	0.0	0.641440751029792	0.9816792796244850	7/24/23	July	Allen_Island2018	40
107	tern	W	MY180719-007	7/19/18	TM	Manset Union Church	MDI	44.2662	-68.3096		75.0	0.0			15:05	8/6/18	10/23/18	10.4	2.49	27.2	1.95	2018_2	125.0	2018	11.63107767109560	MDI_Southwest_Harbor	MDI_Southwest_Harbor	0.0	79	4.199738474309510	-0.08058006491844720	-0.1194929574360160	Manset Union Church7/19/18	0.8651710701173500	0.05734621708674010	0.013762191139040900	0.0	0.015721783003356100	0.0	0.047683402031668800	0.013221614073023000	0.7470099331035880	0.1171700790593960	0.9408068112710320	0.9362794783431310	7/19/23	July	MDI_Southwest_Harbor2018	41
108	terri	M	TWM180724-002	7/24/18	TM	Allen Island	Allen Island	43.8755	-69.3113							7/25/18	10/23/18	19.7	1.84	55.2	1.96	2018_2	136.0	2018	3.042013452929310	Allen_Island	Allen_Island	0.0	84	2.220134386991870	-0.07693862561319000	0.01446273681563440	Allen Island7/24/18	0.626951662153598	0.0035912504080966400	0.34514413013001500	0.02083693418601530	0.0	0.0	0.0	0.34514413013001500	0.38618424843002800	0.22976320792763700	0.9819285206736960	0.9756870426917090	7/24/23	July	Allen_Island2018	40
109	bim	W	TWM180711-006	7/11/18	TM	Love Lake Road	Washington	45.0037	-67.5528		70.0				13:14	7/25/18	10/30/18	47.7	1.89	47.7	1.89	2018_2	148.0	2018	6762.097150208740	Love Lake Road	Crawford_ME	1.0	71	5.495689164438960	0.05312296221485380	0.19793145460657000	Love Lake Road7/11/18	0.009113616418011210	0.03780463106730570	0.9019104840342940	0.0	0.03901977992304060	0.0	0.0	0.9019104840342940	0.0007425909673935060	0.0007425909673935060	0.9424154458921220	0.9488287315196110	7/11/23	July	Love Lake Road2018	42
11	per	W	TWM180814-015	8/14/18	TM	Allen Island; Garden	Allen Island	43.8755	-69.3113							8/16/18	9/25/18	51.4	1.83	51.4	1.83	2018_1	57.0	2018	89592.45280660670	Allen_Island	Allen_Island	1.0	105	5.009876194561400	-0.013464451248442500	-0.03118987821778890	Allen Island; Garden8/14/18	0.8085853981934200	0.004557885141294440	0.002403248529046160	0.051479240904947400	0.00024861191679787900	3.31482555730505E-05	0.0	0.002254081378967430	0.0004972238335957570	0.00016574127786525200	0.054678047567746700	0.8155465318637610	8/14/23	August	Allen_Island2018	43
110	bim	W	TWM180615-009	6/15/18	TM	Eustis 	Franklin	45.3508	-70.6851	Lupine	83.0	0.0			15:36	6/19/18	11/6/18	20.6	2.17	48.1	2.02	2018_2	160.0	2018	4.249828586889750	Natanis_Pond	Natanis_Pond	0.0	45	2.762542646676560	0.07070254628947980	-0.17859267170514100	Eustis 6/15/18	0.6910885805763070	0.3024546424759870	0.005549626467449310	0.0	0.0	0.0	0.0	0.00016008537886873000	0.0	0.6143009605122730	0.6144610458911420	0.9990928495197440	6/15/23	June	Natanis_Pond2018	44
113	bim	M	TWM180711-013	7/11/18	TM	Beddington	Washington	44.8502	-68.0607		75.0	0.0			14:27	7/25/18	10/19/18	22.5	2.18	43.7	1.67	2018_2	98.0	2018	60.64419401528040	Beddington	Beddington_ME	1.0	71	3.680637977104530	-0.03550760651899640	0.11300227495605800	Beddington7/11/18	0.3343958415064730	0.0	0.6602589250686540	0.0	0.0017163593566104400	0.0	0.003138485680659080	0.6602589250686540	0.3325814044723420	0.0007355825814044720	0.9984307571596700	0.9946547665751280	7/11/23	July	Beddington2018	45
114	bor	W	TWM180724-027	7/24/18	TM	Allen Island	Allen Island	43.8755	-69.3113							8/6/18	10/20/18	47.6	1.95	47.6	1.95	2018_2	111.0	2018	6855.066450282850	Allen_Island	Allen_Island	1.0	84	5.108587859535640	-0.003163763582934280	0.043699466617538600	Allen Island7/24/18	0.426148486239771	0.05639128203743210	0.4236638128932940	0.030005131390606900	0.002727739217327900	0.047046749669160300	0.0	0.4236638128932940	0.4254462959462010	0.0003781024657682230	0.9292678315823590	0.9062035811704970	7/24/23	July	Allen_Island2018	40
116	imp	W	TWM180731-004	7/31/18	TM	Eustis Parking Lot; Colby College	Kennebec	44.563	-69.661		83.0	2.0			13:26	8/6/18	10/23/18	20.7	2.08	46.8	1.97	2018_2	137.0	2018	9.031758215214020	Colby_College	Colby_College	0.0	91	4.722534788111490	-0.053483380221552800	-0.14367879249925700	Eustis Parking Lot; Colby College7/31/18	0.7118537586957190	0.07148110692286480	0.038475682633079000	0.006696086543470930	0.0	0.058441359443474	0.10994146670344200	0.038475682633079000	0.6795838313260400	0.02304557016334160	0.9161839968128470	0.8218105482516630	7/31/23	July	Colby_College2018	46
117	bor	W	DRA180720-009	7/20/18	TM	Monhegan Island	Monhegan Island	43.764	-69.314							7/31/18	10/30/18	45.5	2.01	45.5	2.01	2018_2	149.0	2018	108.07923308892000	Monhegan_Island	Monhegan_Island	1.0	80	2.784315919721840	-0.043458647183207400	0.07130490760025210	Monhegan Island7/20/18	0.421064804107498	0.007724686618252460	0.5214626023405340	0.013876682547758900	0.0	0.008719182200841850	0.02583375734307790	0.5214626023405340	0.4203940977843560	0.00020815023821638400	0.9904944724547850	0.9502520930662840	7/20/23	July	Monhegan_Island2018	47
118	bim	W	TWM180711-003	7/11/18	TM	Baileyville Big Stop	Washington	45.1235	-67.3506		70.0	1.5			12:37	7/25/18	11/6/18	46.4	1.96	46.4	1.96	2018_2	161.0	2018	0.5344553616484960	Baring_ME	Baring_ME	0.0	71	2.948864083988200	-0.05326629915773270	0.03969989982464060	Baileyville Big Stop7/11/18	0.5061112332380740	0.01413497471971860	0.43411738843701900	0.008859089909870300	0.0010551769619696600	0.004660364915366020	0.030204440536381600	0.43405143987689600	0.503165530885909	0.0	0.9819960430863930	0.954363596394812	7/11/23	July	Baring_ME2018	48
12	bor	W	TWM180814-002	8/14/18	TM	Allen Island; Trail	Allen Island	43.8755	-69.3113	Thistle					10:00	8/16/18	9/25/18	41.5	1.94	41.5	1.94	2018_1	44.0	2018	42837.59322053450	Allen_Island	Allen_Island	1.0	105	9.115406246359070	-0.06689088628793390	-0.12743372423426700	Allen Island; Trail8/14/18	0.7739365659024820	0.05032799080273210	0.002880908906471900	0.017204301075268800	0.000852099817407182	0.114127273956854	0.0	0.002880908906471900	0.00048691418137553300	0.00027050787854196300	0.1358220058159190	0.8271454656116860	8/14/23	August	Allen_Island2018	49
121	terri	M	TWM180711-009	7/11/18	TM	Little Pembroke Brook	Washington	44.911	-67.8002		75.0	0.0			13:52	7/25/18	10/19/18	11.7	2.02	25.4	1.4	2018_2	100.0	2018	2.427999989215760	Little Pembroke Brook	Pickerel_Lake	0.0	71	1.918445250079860	-0.10421395665785500	-0.07090676976244630	Little Pembroke Brook7/11/18	0.8627140001738070	0.0	0.07632310767359000	0.04964369514208740	0.0	0.00271573824628487	0.0	0.07632310767359000	0.5120361519075350	0.3501781524289560	0.9908968453984530	0.9390371078473970	7/11/23	July	Little Pembroke Brook2018	39
122	bim	M	DRA180720-007	7/20/18	TM	Monhegan Island	Monhegan Island	43.764	-69.314							7/31/18	10/20/18	59.7	1.92	59.7	1.92	2018_2	112.0	2018	463.82868958825700	Monhegan_Island	Monhegan_Island	1.0	80		0.4074796876028570	-0.09847580984457390	Monhegan Island7/20/18	0.08982035928143710	0.7256914741944680	0.07385229540918160	0.015112631879098900	0.07584830339321360	0.0	0.007413743940690050	0.07328200741374390	0.06016538351867690	0.0	0.23182207014542300	0.889364128885087	7/20/23	July	Monhegan_Island2018	47
123	vag	W	DRA180720-004	7/20/18	TM	Monhegan Island	Monhegan Island	43.764	-69.314							7/31/18	10/23/18	20.2	1.96	49.9	1.94	2018_2	126.0	2018	50409.65442686630	Monhegan_Island	Monhegan_Island	1.0	80	2.371921755452000	0.12180529740904600	0.07427158056088690	Monhegan Island7/20/18	0.8513098830869110	0.12249245517486200	0.025867971900281500	0.0	0.0	0.0	0.0	0.0004311328650046920	0.0004818543785346560	0.0005072151352996370	0.0014202023788389800	0.9996703101620550	7/20/23	July	Monhegan_Island2018	47
124	bor	M	TWM180724-017	7/24/18	TM	Allen Island	Allen Island	43.8755	-69.3113							7/30/18	10/23/18	33.4	1.71	33.4	1.71	2018_2	138.0	2018	1463.526321966050	Allen_Island	Allen_Island	1.0	84	8.058022437683820	-0.08967239498565550	-0.024171868808280300	Allen Island7/24/18	0.7541141047604220	0.0010642163733582500	0.21489383792763300	0.028811711571406300	0.0	0.0	0.0	0.21489383792763300	0.6052535949748220	0.14561594767170200	0.994575092145564	0.9700721590614130	7/24/23	July	Allen_Island2018	40
125	tern	W	TWM180719-007	7/19/18	TM	Manset Union Church	MDI	44.2662	-68.3096		75.0	0.0			15:05	8/6/18	10/30/18	27.5	1.98	27.5	1.98	2018_2	150.0	2018	731.3639180438790	MDI_Southwest_Harbor	MDI_Southwest_Harbor	1.0	79	4.575198350734490	0.08398791831201880	-0.15225573718788500	Manset Union Church7/19/18	0.622437971952535	0.2543689320388350	0.021574973031283700	0.0	0.0	0.0	0.09724919093851130	0.0004854368932038840	0.07222222222222220	0.36774541531823100	0.5377022653721680	0.8983818770226540	7/19/23	July	MDI_Southwest_Harbor2018	41
126	bim	M	MY180711-002	7/11/18	TM	Love Lake Road	Washington	45.0037	-67.5528		70.0				13:14	7/25/18	11/6/18	39.2	1.91	39.2	1.91	2018_2	162.0	2018	8.953575625198650	Love Lake Road	Crawford_ME	0.0	71	5.495123316699270	0.15353009537443400	-0.16285908730260500	Love Lake Road7/11/18	0.5525809994508510	0.343218012081274	0.008305875892366830	0.0	0.0	0.0	0.0	0.0012355848434925900	0.001441515650741350	0.0008923668314113120	0.00356946732564525	0.904104887424492	7/11/23	July	Love Lake Road2018	42
129	bor	Q	DRA180619-003	6/19/18	TM											6/20/18	10/19/18	189.3	2.14	189.3	2.14	2018_2	101.0	2018	0.3034126470944700	No_Site	No_Site	0.0	49	4.314579558430740	-0.011877337621783700	0.1588212578037920		0.13690221270521100	0.0	0.7590292648108490	0.004853675945753030	0.0	0.004710920770877940	0.09350463954318340	0.7590292648108490	0.1363311920057100	0.0	0.9984296930763740	0.89593147751606	6/19/23	June	No_Site2018	50
132	bim	W	TWM180724-010	7/24/18	TM	Allen Island	Allen Island	43.8755	-69.3113							7/25/18	10/23/18	31.1	1.86	31.1	1.86	2018_2	139.0	2018	6091.961792413060	Allen_Island	Allen_Island	1.0	84	3.885532979333950	-0.12129700066173600	-0.09897499142463040	Allen Island7/24/18	0.9886181632305330	0.010325438745953300	0.0008689725677287440	0.0	0.0	0.0	0.0	0.0004089282671664680	0.0004770829783608790	0.9438916340092010	0.9447776452547280	0.9998125745442150	7/24/23	July	Allen_Island2018	40
133	tern	W	MY180719-002	7/19/18	TM	Schooner Head Rd	MDI	44.3459	-68.1789		73.0	1.5			12:49	7/25/18	10/30/18	11.1	1.97	26.0	2.1	2018_2	151.0	2018	2777.797438509810	MDI_Acadia	MDI_Bar_Harbor	1.0	79	4.615897926078670	-0.03680467750862520	-0.08441884573539760	Schooner Head Rd7/19/18	0.7681435222821670	0.1003251792180920	0.11715689897272900	0.008591382750720570	0.005321114477865640	0.0	0.0	0.11482891138866300	0.5856551622200870	0.16938881087872300	0.8837853817160590	0.985625600472988	7/19/23	July	MDI_Acadia2018	51
138	vag	W	TWM180802-002	8/2/18	TM	Swans Island; Roadside	Swans Island	44.1722	-68.4233	Thistle	70.0				11:56	8/6/18	10/20/18	26.1	2.0	26.1	2.0	2018_2	115.0	2018	3352.2394487003200	Swans_Island_ME	Swans_Island_ME	1.0	93	7.194594666837370	0.45688121545025300	-0.13172320396516700	Swans Island; Roadside8/2/18	0.04855387381987110	0.9302412707927470	0.007230630900644390	0.0005994305409860630	0.0	0.0007492881762325790	0.0	0.0028098306608721700	0.0013112543084070100	0.0	0.005469803686497830	0.9860257755132620	8/2/23	August	Swans_Island_ME2018	52
140	terri	W	MY180703-004	7/3/18	TM	Jackman	Somerset	45.6111	-70.2116		80.0	5.0			13:30	7/6/18	10/30/18	42.5	1.93	42.5	1.93	2018_2	140.0	2018	2.6421086081565000	Jackman_ME	Jackman_ME	0.0	63	3.852510402684060	-0.02123338275457010	0.018940145113024800	Jackman7/3/18	0.5420439205873640	0.07472096928192800	0.3826754024956380	0.0	0.0	0.0	0.0	0.37872452507161000	0.5190629835709350	0.00016461989266783000	0.8979521285352120	0.9994402923649290	7/3/23	July	Jackman_ME2018	53
